Character,Avg_Ep_Rating,Episode_Entered,Episode_Exited,Episode_Count,Family_Name,Actors_Name,Death,Color
Eddard Stark,9.32,101,109,9,Stark,Sean Bean,Executed,#8FBC8F
Robb Stark,9.255,101,309,21,Stark,Richard Madden,Shot & Stabbed,#8FBC8F
Jon Snow,9.435,101,510,41,Snow,Kit Harington,Stabbed,#000000
Joffrey Baratheon,9.338,101,402,25,Baratheon,Jack Gleeson,Poisoned ,#FFD700
Jaime Lannister,9.222,101,509,34,Lannister,Nikolaj Coster-Waldau,Alive, #B22222
Tyrion Lannister,9.48,101,510,46,Lannister,Peter Dinklage,Alive,#B22222
Daenerys Targaryen,9.32,101,510,41,Targaryen,Emilia Clark,Alive,#FF0000
Ramsay Bolton,9.12,302,510,15,Bolton,Iwan Rheon,Alive,#000000
Drogo,9.39,101,110,9,Dothraki,Jason Momoa,Suffocated,#9ACD32
Ygritte,9.25,206,409,16,Free Folk,Rose Leslie,Shot,#483D8B
Tormund,9.28,301,509,17,Free Folk,Kristofer Hivju,Alive,#483D8B
Petyr Baelish,9.49,103,507,30,Other,Aiden Gillen,Alive,#FFFF00
Varys,9.33,103,510,28,Other,Conleth Hill,Alive,#FF0000
Melisandre,9.73,201,510,18,Other,Carice Van Houten,Alive,#FFD700
Jaqen H'ghar,9,202,510,12,Other,Tom Wlaschiha,Alive,#778899
